FILENAME,url,URLLength,Domain,DomainLength,IsDomainIP,tld,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,Title,DomainTitleMatchScore,URLTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef,label,For Visual
7536227.txt,https://auth-document-shared.datingg-voice.workers.dev/,54,auth-document-shared.datingg-voice.workers.dev,46,0,dev,29.03511242,0.214285714,0.0009613,0.056210107,3,2,0,0,0,40,0.741,0,0,0,0,0,6,0.111,1,2,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Valuable
8077349.txt,https://host-authoritsaativeax.mefound.com/,43,host-authoritsaativeax.mefound.com,34,0,com,38.33910035,0.6,0.5229071,0.059985542,3,1,0,0,0,31,0.721,0,0,0,0,0,4,0.093,1,13,73,1,host-authoritsaativeaxmefound,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Valuable
8048476.txt,http://forcedie17.temp.swtest.ru/postounatou/postounatou/post/login/login.php,77,forcedie17.temp.swtest.ru,25,0,ru,14.57430296,0.5,0.0180132,0.056989683,2,2,0,0,0,59,0.766,2,0.026,0,0,0,9,0.117,0,183,727,1,forcedie17tempswtestpostounatoupostounatoupostloginloginphp,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,10,4,5,0,0,0,0,Valuable
mw48006.txt,http://www.mail-nepalarmy-mil-np-login-download.netlify.app,58,www.mail-nepalarmy-mil-np-login-download.netlify.app,52,0,app,21.6500679,0.227272727,0.001502,0.055264723,3,2,0,0,0,40,0.69,0,0,0,0,0,7,0.121,0,2,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Valuable
8004443.txt,http://vinted-pl-gj32d.lanru.top/authorize/1662975258698217,58,vinted-pl-gj32d.lanru.top,25,0,top,18.05814332,0.428571429,0.0002752,0.031838033,3,1,0,0,0,28,0.483,17,0.293,0,0,0,6,0.103,0,2,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Valuable
8073332.txt,http://burghdogs.com/landmarkcuauth,35,burghdogs.com,13,0,com,40.78993666,1,0.5229071,0.052022604,3,0,0,0,0,26,0.743,0,0,0,0,0,2,0.057,0,9,86,1,burghdogslandmarkcuauth,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Valuable
8065252.txt,http://dorainsurance.com/auth.php?md=rougtfxanjhlhnskbpqm&rougtfxanjhlhnskbpqm,78,dorainsurance.com,17,0,com,20.11505654,1,0.5229071,0.046000025,3,0,0,0,0,65,0.833,0,0,1,1,0,4,0.077,0,11,86,1,dorainsuranceauthphp?md=rougtfxanjhlhnskbpqm&rougtfxanjhlhnskbpqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Valuable
7501987.txt,https://roundcube-updatealx.web.app/,35,roundcube-updatealx.web.app,27,0,app,38.64393494,0.434782609,0.001502,0.049872356,3,1,0,0,0,24,0.686,0,0,0,0,0,3,0.086,1,2,27588,1,roundcube-updatealxweb,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,Valuable
8085380.txt,http://43.134.167.94/servicelogin?passive=1209600&amp;continue=https://accounts.google.com/?&amp;xrealip=107.178.232.242&amp;followup=https://accounts.google.com/?&amp;xrealip=107.178.232.242,191,43.134.167.94,13,1,94,4.813394786,0.4,0,0.042737399,2,2,0,0,0,95,0.497,41,0.215,5,3,0,24,0.168,1,2,199,0,0,0,0.617283951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Valuable
7374220.txt,http://cpanel10wh.bkk1.cloud.z.com/~cp785288/hlep/login/billing.php?verify_account=session=nl&amp;c9af20c816b1cce4f06368be3327e297=&amp;dispatch=15464ad822e0af50d3b1df6196cac08a9e8edfbd,184,cpanel10wh.bkk1.cloud.z.com,27,0,com,5.672425819,0.391304348,0.5229071,0.036274179,3,3,0,0,0,107,0.582,50,0.272,4,1,0,15,0.109,0,9,236,1,cpanel10whbkk1cloudz~cp785288hleploginbillingphp?verify_account=session=nl&amp;c9af20c816b1cce4f06368be3327e297=&amp;dispatch=15464ad822e0af50d3b1df6196cac08a9e8edfb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Valuable
