FILENAME,url,URLLength,Domain,DomainLength,IsDomainIP,tld,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,Title,DomainTitleMatchScore,URLTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef,label,For Visual
8136955.txt,http://cy59538.tw1.ru/httpdocs/login/ologin.php,47,cy59538.tw1.ru,14,0,ru,25.29268293,0.727272727,0.0180132,0.042277104,2,1,0,0,0,28,0.596,6,0.128,0,0,0,6,0.128,0,9,55,1,cy59538tw1httpdocsloginologinphp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Valuable
8136931.txt,http://cx41793.tw1.ru/httpdocs/login/ologin.php,47,cx41793.tw1.ru,14,0,ru,25.25,0.727272727,0.0180132,0.042035123,2,1,0,0,0,28,0.596,6,0.128,0,0,0,6,0.128,0,9,55,1,cx41793tw1httpdocsloginologinphp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Valuable
7963846.txt,https://www.amazcon-co-jp.amacszan.ucrilc.top/ap/signin,54,www.amazcon-co-jp.amacszan.ucrilc.top,37,0,top,26.19106151,0.310344828,0.0002752,0.059090257,3,3,0,0,0,35,0.648,0,0,0,0,0,7,0.13,1,13,73,1,amazcon-co-jpamacszanucrilcapsigni,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Valuable
7549163.txt,http://mamkefu.kanuomei.com/web/im.aspx?_=t&accountid=129544&lng=en,66,mamkefu.kanuomei.com,20,0,com,18.73679417,0.5625,0.5229071,0.049177821,3,1,0,0,0,41,0.621,6,0.091,3,1,0,8,0.182,0,421,700,1,mamkefukanuomeiwebimaspx?_=t&accountid=129544&lng=e,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,2,1,0,1,0,Valuable
mw31213.txt,http://www.login.mynewellowstore.com,35,www.login.mynewellowstore.com,29,0,com,54.76388889,0.761904762,0.5229071,0.061641937,3,2,0,0,0,22,0.629,0,0,0,0,0,2,0.057,0,2,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Valuable
8110406.txt,https://exoduslogin.webflow.io,30,exoduslogin.webflow.io,22,0,io,57.77937478,0.631578947,0.0129268,0.053368693,2,1,0,0,0,20,0.667,0,0,0,0,0,2,0.067,1,30,134,1,exodusloginwebflow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,Valuable
8012490.txt,https://protocol-rocketpool.com/verify?r=89a50f5e252bc52292f38c2e7f5f87c5,72,protocol-rocketpool.com,23,0,com,22.34825721,0.578947368,0.5229071,0.040236374,3,0,0,0,0,39,0.542,20,0.278,1,1,0,3,0.069,1,2,81,0,0,0,1.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Valuable
8096730.txt,http://43.134.167.94/servicelogin?continue=https://accounts.google.com/?&amp;,77,43.134.167.94,13,1,94,14.77957815,0.4,0,0.052173118,2,2,0,0,0,40,0.519,10,0.13,1,2,0,9,0.156,1,2,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Valuable
8135073.txt,https://bafybeib2gf24er55gzcqdyxuysgvho2vzvohv3kx6dk6ynsw5dh2wxgywa.ipfs.dweb.link/pl2auth.html?cust.serv@equifax.com,117,bafybeib2gf24er55gzcqdyxuysgvho2vzvohv3kx6dk6ynsw5dh2wxgywa.ipfs.dweb.link,74,0,link,6.528835191,0.246376812,0.0003306,0.034254953,4,2,0,0,0,88,0.752,12,0.103,0,1,0,8,0.077,1,127,1241,1,bafybeib2gf24er55gzcqdyxuysgvho2vzvohv3kx6dk6ynsw5dh2wxgywaipfsdwebpl2authhtml?custserv@equifaxcom,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,Valuable
7955041.txt,https://port-3000-php-red-yak-jasminhissou90224029.codeanyapp.com/lol/lbb/kkb/auth/login?verification#_,102,port-3000-php-red-yak-jasminhissou90224029.codeanyapp.com,57,0,com,11.74792244,0.396226415,0.5229071,0.045727711,3,1,0,0,0,68,0.667,12,0.118,0,1,0,13,0.137,1,68,216018,1,port-3000-php-red-yak-jasminhissou90224029codeanyapplollbbkkbauthlogin?verification#,0,0,1,0,1,0,0,0,0,2,0,0,1,1,0,1,1,0,1,1,1,3,3,2,2,0,Valuable
8096305.txt,https://e-mail-update-service-108036.weeblysite.com/,52,e-mail-update-service-108036.weeblysite.com,43,0,com,30.89630759,0.435897436,0.5229071,0.050636533,3,1,0,0,0,31,0.596,6,0.115,0,0,0,7,0.135,1,273,19487,1,e-mail-update-service-108036weeblysite,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,19,3,9,1,0,4,0,Valuable
8089806.txt,https://login-screen-101932.square.site/,40,login-screen-101932.square.site,31,0,site,55.56344697,0.5,0.0017656,0.048788566,4,1,0,0,0,21,0.525,6,0.15,0,0,0,5,0.125,1,273,20221,1,login-screen-101932square,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,19,3,9,2,0,3,0,Valuable
oph09545.txt,http://www.net-flix-payment.thecornercoffeeshop.com/ch/login.php,64,www.net-flix-payment.thecornercoffeeshop.com,44,0,com,26.87657398,0.555555556,0.5229071,0.056912333,3,2,0,0,0,46,0.719,0,0,0,0,0,7,0.109,0,11,115,1,net-flix-paymentthecornercoffeeshopchloginphp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,Valuable
