FILENAME,url,URLLength,Domain,DomainLength,IsDomainIP,tld,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,Title,DomainTitleMatchScore,URLTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef,label,For Visual
8100003.txt,https://app-radiaymkhee.netlify.app/account/remove-unrecognize-apps/,68,app-radiaymkhee.netlify.app,27,0,app,25.74164512,0.52173913,0.001502,0.056720356,3,1,0,0,0,52,0.765,0,0,0,0,0,8,0.118,1,2,7061,1,#NAME?,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,Valuable
8043685.txt,http://gnmtc.com/contact-us/nosnitch/login.php,46,gnmtc.com,9,0,com,26.0486522,1,0.5229071,0.059191932,3,0,0,0,0,33,0.717,0,0,0,0,0,6,0.13,0,201,1157,1,gnmtccontact-usnosnitchloginphp,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,2,6,0,5,0,0,Valuable
8082087.txt,https://login.schlankformel.com//wp-includes/js/jquery/content/content.php,74,login.schlankformel.com,23,0,com,20.11978674,0.736842105,0.5229071,0.05453216,3,1,0,0,0,56,0.757,0,0,0,0,0,10,0.135,1,11,119,1,loginschlankformelwp-includesjsjquerycontentcontentphp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Valuable
7646083.txt,https://storageapi.fleek.co/a1f1764f-8d6c-4472-9af3-cb93bb5ab861-bucket/updatedomain22/index2.html,97,storageapi.fleek.co,19,0,co,21.7214437,0.6875,0.0059772,0.038952883,2,1,0,0,0,56,0.577,22,0.227,0,0,0,11,0.113,1,2,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Valuable
oph10686.txt,https://www.attemplate.com/nam/be0f980b-dd99-4b19-bd7b-bc71a09b026c/fb9aad3b-6a04-464a-8057-dbe2eecc6ad3/c59f98d7-fad7-4737-9bb3-047ee2ff79fe/login?id=ofo4cnq0k0ivym8zalznswgzaxdhvwptnxvzy204ditwy1nkc1pomgmryytcc0tizunwovfycmcwv2ltzedodudqbtzbty8ragi4c244c2tzv294unryvfvjwlbrzetwzetgm3rtb2nrn2fzzddqswi5tkxhyvl0ynhxazf2t3nltgc0mxlmweptcljsv3ruv0hhvkm0ttz3yzjuly8vneyzb0vgwevua2fpmddlrnvyzvvsk0v5egszsjleu0o2nwzim0pjynazetbswlmrv3hgt2huufk3owfpdvnisdlprfdlsezlby9rt1d1odl0a3porvjowkpwd283ddi2oddwzlvaowrkrkpxdgeru3dlk2zqufzycthzttvrr09pogfpewvsmzz0nk1uk01hvxndmnpnuhj0cdf6sgtydjniuzvou2lwnxmxr1zok3riyuvcbzlibfi4suprl3lbrhlnn1y3wunsaxbpvni2vuzdz3l3uudsakhuvgwyvwjfcfbvr2rfl2vimg5uc0vdn2vqbnbdut09,695,www.attemplate.com,18,0,com,2.055651037,1,0.5229071,0.031519536,3,1,0,0,0,534,0.768,129,0.186,1,1,0,18,0.029,1,21,159051,1,attemplatenambe0f980b-dd99-4b19-bd7b-bc71a09b026cfb9aad3b-6a04-464a-8057-dbe2eecc6ad3c59f98d7-fad7-4737-9bb3-047ee2ff79felogin?id=ofo4cnq0k0ivym8zalznswgzaxdhvwptnxvzy204ditwy1nkc1pomgmryytcc0tizunwovfycmcwv2ltzedodudqbtzbty8ragi4c244c2tzv294unryvfvjwlbrzetwzetgm3rtb2nrn2fzzddqswi5tkxhyvl0ynhxazf2t3nltgc0mxlmweptcljsv3ruv0hhvkm0ttz3yzjuly8vneyzb0vgwevua2fpmddlrnvyzvvsk0v5egszsjleu0o2nwzim0pjynazetbswlmrv3hgt2huufk3owfpdvnisdlprfdlsezlby9rt1d1odl0a3porvjowkpwd283ddi2oddwzlvaowrkrkpxdgeru3dlk2zqufzycthzttvrr09pogfpewvsmzz0nk1uk01hvxndmnpnuhj0cdf6sgtydjniuzvou2lwnxmxr1zok3riyuvcbzlibfi4suprl3lbrhlnn1y3wunsaxbpvni2vuzdz3l3uudsakhuvgwyvwjfcfbvr2rfl2vimg5uc0vdn2vqbnbdut09,0,100,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3,1,0,1,0,Valuable
8123866.txt,https://account-bitpanda-ch.web.app/,36,account-bitpanda-ch.web.app,27,0,app,60.7877719,0.391304348,0.001502,0.054010027,3,1,0,0,0,23,0.639,0,0,0,0,0,5,0.139,1,21,965,1,account-bitpanda-chweb,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,1,0,2,0,Valuable
507583.txt,https://www.allianceindependentauthors.org,41,www.allianceindependentauthors.org,34,0,org,100,1,0.0799628,0.06263611,3,1,0,0,0,28,0.683,0,0,0,0,0,1,0.024,1,1088,18349,1,allianceindependentauths,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,18,23,35,100,13,92,1,Valuable
8131020.txt,https://authorise-new-device.web.app/,37,authorise-new-device.web.app,28,0,app,40.50844476,0.416666667,0.001502,0.055588369,3,1,0,0,0,24,0.649,0,0,0,0,0,5,0.135,1,11,1663,1,authorise-new-deviceweb,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,Valuable
7418076.txt,http://cpanel10wh.bkk1.cloud.z.com/~cp785288/hlep/login/billing.php?verify_account=session=nl&amp;c2cbd3ea32c239d30ddbeb3e2b5eb784=&amp;dispatch=462b6d425aec3417e68d33c2c3465bf53648646b,184,cpanel10wh.bkk1.cloud.z.com,27,0,com,5.672425819,0.391304348,0.5229071,0.035155626,3,3,0,0,0,105,0.571,52,0.283,4,1,0,15,0.109,0,9,236,1,cpanel10whbkk1cloudz~cp785288hleploginbillingphp?verify_account=session=nl&amp;c2cbd3ea32c239d30ddbeb3e2b5eb784=&amp;dispatch=462b6d425aec3417e68d33c2c3465bf53648646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Valuable
7899997.txt,https://account-restriction-1000781373.firebaseapp.com/,54,account-restriction-1000781373.firebaseapp.com,46,0,com,45.19567228,0.523809524,0.5229071,0.049383283,3,1,0,0,0,32,0.593,10,0.185,0,0,0,4,0.074,1,11,1663,1,account-restriction-1000781373firebaseapp,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,Valuable
