FILENAME,url,URLLength,Domain,DomainLength,IsDomainIP,tld,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,Title,DomainTitleMatchScore,URLTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef,label,For Visual
mw164429.txt,http://www.newsupdates.org,25,www.newsupdates.org,19,0,org,80.68027211,1,0.0799628,0.057446966,3,1,0,0,0,13,0.52,0,0,0,0,0,1,0.04,0,2,2826,1,newsupdates,100,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,Valuable
7962082.txt,https://loginscreen.boxmode.io/,30,loginscreen.boxmode.io,22,0,io,48.55072464,0.631578947,0.0129268,0.06499396,2,1,0,0,0,20,0.667,0,0,0,0,0,2,0.067,1,53,197,1,loginscreenboxmode,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,24,0,Valuable
7999886.txt,https://attloginportalserviceupdate.boxmode.io/,46,attloginportalserviceupdate.boxmode.io,38,0,io,37.37481355,0.8,0.0129268,0.06083696,2,1,0,0,0,36,0.783,0,0,0,0,0,2,0.043,1,53,197,1,attloginportalserviceupdateboxmode,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,24,0,Valuable
8033668.txt,https://www.sassoin-cards.tuhqvv.cn/web/login.jsp,48,www.sassoin-cards.tuhqvv.cn,27,0,cn,27.7027027,0.4,0.0033218,0.050573401,2,2,0,0,0,30,0.625,0,0,0,0,0,6,0.125,1,2,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Valuable
oph00626.txt,https://ahsansupermarket.com/mipih.fr/auth-logon.php,51,ahsansupermarket.com,20,0,com,40.39038301,1,0.5229071,0.055553162,3,0,0,0,0,37,0.725,0,0,0,0,0,6,0.118,1,5,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Valuable
oph10179.txt,https://labelland.xyz/login?p=2913987769,40,labelland.xyz,13,0,xyz,32.24431818,1,0.0017496,0.030132636,3,0,0,0,0,18,0.45,10,0.25,1,1,0,2,0.1,1,115,6823,1,labellandlogin?p=2913987769,0,100,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,2,0,2,2,0,6,0,Valuable
8083993.txt,http://43.134.233.26/interactivelogin?continue=https://accounts.google.com/?&amp;followup=https://accounts.google.com/?&amp;passive=1209600&amp;xrealip=107.178.232.247&amp;ifkv=awnoghdmun6gzi7h3r8kayf92txaueht5xctvthvxy8dt1pk8hk3kl2zipab8hldy0zf_0pinuwp,253,43.134.233.26,13,1,26,3.506739008,0.4,0,0.039579479,2,2,0,0,0,156,0.617,44,0.174,5,3,0,22,0.119,1,11,555,1,43134233interactivelogin?continue=accountsgooglecom?&amp;followup=accountsgooglecom?&amp;passive=1209600&amp;xrealip=107178232247&amp;ifkv=awnoghdmun6gzi7h3r8kayf92txaueht5xctvthvxy8dt1pk8hk3kl2zipab8hldy0zf_0pinuwp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Valuable
8007448.txt,http://dkb-kuden-banking.faqserv.com/auth/realms/login-dkb/,58,dkb-kuden-banking.faqserv.com,29,0,com,25.91606778,0.32,0.5229071,0.049368473,3,1,0,0,0,43,0.741,0,0,0,0,0,8,0.138,0,11,89,1,dkb-kuden-bankingfaqservauthrealmslogin-dkb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Valuable
8137836.txt,https://onlineverify-102965.weeblysite.com/,43,onlineverify-102965.weeblysite.com,34,0,com,41.41374197,0.633333333,0.5229071,0.046619484,3,1,0,0,0,25,0.581,6,0.14,0,0,0,4,0.093,1,68,80,1,onlineverify-102965weeblysite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Valuable
8087687.txt,http://43.134.163.95/v3/signin/identifier?dsh=s-486019937:1679498421135313&amp;continue=https://accounts.google.com/?&amp;followup=https://accounts.google.com/?&amp;xrealip=107.178.236.1&amp;ifkv=aqmjq7qwvrom1mbl8wwoh22_chkcir66x0zkvbovn0xuviopokfmbipjayxuqwecc4jezb4w01dw&amp;passive=1209600&amp;xrealip=217.138.252.184&amp;flowname=glifwebsignin&amp;flowentry=servicelogin,374,43.134.163.95,13,1,95,2.291737228,0.4,0,0.03812526,2,2,0,0,0,224,0.599,78,0.209,9,3,0,37,0.131,1,2,1638,1,43134163v3signinidentifier?dsh=s-486019937:1679498421135313&amp;continue=accountsgooglecom?&amp;followup=accountsgooglecom?&amp;xrealip=1071782361&amp;ifkv=aqmjq7qwvrom1mbl8wwoh22_chkcir66x0zkvbovn0xuviopokfmbipjayxuqwecc4jezb4w01dw&amp;passive=1209600&amp;xrealip=217138252184&amp;flowname=glifwebsignin&amp;flowentry=servicelogin,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Valuable
