FILENAME,url,URLLength,Domain,DomainLength,IsDomainIP,tld,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,Title,DomainTitleMatchScore,URLTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef,label,For Visual
oph00703.txt,http://membershiplienquangarenavn.xyz/ui/login/,47,membershiplienquangarenavn.xyz,30,0,xyz,36.86390533,1,0.0017496,0.051708666,3,0,0,0,0,36,0.766,0,0,0,0,0,4,0.085,0,58,204,1,membershiplienquangarenavnuilogin,0,100,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,2,0,0,0,Valuable
8118681.txt,https://auta-marketplace.pl/authorize.php,41,auta-marketplace.pl,19,0,pl,43.62339977,0.75,0.0069695,0.054610169,2,0,0,0,0,29,0.707,0,0,0,0,0,4,0.098,1,113,325,1,auta-marketaceauthorizephp,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,4,1,3,7,7,0,Valuable
851715.txt,https://www.noidaauthorityonline.in,34,www.noidaauthorityonline.in,27,0,in,100,1,0.0050842,0.061907891,2,1,0,0,0,21,0.618,0,0,0,0,0,1,0.029,1,571,6726,1,nodaauthortyonlne,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,59,16,19,4,22,32,1,Valuable
8061994.txt,https://ageckocan.com.au/eds/rhfj/fzf/jg/app/login.php,54,ageckocan.com.au,16,0,au,22.37461288,0.769230769,0.0100856,0.048711499,2,1,0,0,0,37,0.685,0,0,0,0,0,9,0.167,1,11,85,1,ageckocancomedsrhfjfzfjgapploginphp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Valuable
oph01563.txt,https://www.gpaolobrunelli.com/wp-files/dhl/shipping/login/index.php?trackid=cs471210241de,89,www.gpaolobrunelli.com,22,0,com,14.37844856,1,0.5229071,0.043878842,3,1,0,0,0,58,0.652,9,0.101,1,1,0,8,0.112,1,191,206,1,gpaolobrunelliwp-filesdhlshippingloginindexphp?trackid=cs471210241d,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,5,0,0,0,0,Valuable
mw39989.txt,http://www.update.booksonlineclub.com,36,www.update.booksonlineclub.com,30,0,com,53.08307692,0.727272727,0.5229071,0.059611331,3,2,0,0,0,23,0.639,0,0,0,0,0,2,0.056,0,2,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Valuable
8099755.txt,http://43.159.48.238/v3/signin/identifier?dsh=s-855231358%3a1680310822870598&amp%3bfollowup=https%3a%2f%2faccounts.google.com%2f%3f&amp%3bifkv=aqmjq7qg4tjn2vl6lh_-sbzsr7bnt6sjivux9wh_md2yfrbaqxjbhlbzmg8rbw0hbxdpxmnyujtlfw&amp%3bpassive=1209600&amp%3bxrealip=107.178.237.20&continue=https%3a%2f%2faccounts.google.com%2f%3f&xrealip=34.198.46.118&flowname=weblitesignin&flowentry=servicelogin&ifkv=aqmjq7sgoeiwlur8-nfocdlq5lviwpcgvjqh8o-v_qt8yokiatoz7zqvnufdekpr6rptzf6mhljsew,473,43.159.48.238,13,1,238,1.292949467,0.444444444,0,0.034782905,3,2,0,0,0,311,0.658,97,0.205,10,1,15,32,0.123,1,125,53519,1,4315948v3signinidentifier?dsh=s-855231358%3a1680310822870598&amp%3bfollowup=https%3a%2f%2faccountsgooglecom%2f%3f&amp%3bifkv=aqmjq7qg4tjn2vl6lh_-sbzsr7bnt6sjivux9wh_md2yfrbaqxjbhlbzmg8rbw0hbxdpxmnyujtlfw&amp%3bpassive=1209600&amp%3bxrealip=10717823720&continue=https%3a%2f%2faccountsgooglecom%2f%3f&xrealip=3419846118&flowname=weblitesignin&flowentry=servicelogin&ifkv=aqmjq7sgoeiwlur8-nfocdlq5lviwpcgvjqh8o-v_qt8yokiatoz7zqvnufdekpr6rptzf6mhljsew,0,0,0,0,1,1,0,1,0,2,0,0,1,1,0,0,1,0,1,1,0,0,2,0,5,0,Valuable
8080857.txt,http://chocoinnova.com.ar/buk/61399337333e70b0a933412ad6876a72/login.php,72,chocoinnova.com.ar,18,0,ar,18.88327058,0.8,0.0020445,0.033621071,2,1,0,0,0,33,0.458,26,0.361,0,0,0,6,0.083,0,11,119,1,chocoinnovacombuk61399337333e70b0a933412ad6876a72loginphp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Valuable
8112822.txt,https://tide-electronics.com/rf-ro//portal/clients/login.php?verification#_login&amp;appidkey=91bfa3054d6407b&amp;country=ro,124,tide-electronics.com,20,0,com,15.73320325,0.75,0.5229071,0.051606205,3,0,0,0,0,88,0.71,10,0.081,2,1,0,15,0.145,1,2,132,0,0,0,0.934579439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Valuable
8020515.txt,https://uniquelyoursug.com/cgbin/ov6/#accounts@centrica.com,58,uniquelyoursug.com,18,0,com,28.16076657,1,0.5229071,0.058142782,3,0,0,0,0,42,0.724,1,0.017,0,0,0,7,0.121,1,9,278,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Valuable
8135948.txt,http://cq09700.tw1.ru/www.sfr.fr-login-return_url/index.html,60,cq09700.tw1.ru,14,0,ru,18.31403582,0.727272727,0.0180132,0.038678279,2,1,0,0,0,34,0.567,6,0.1,0,0,0,9,0.15,0,9,68,1,cq09700tw1sfrfr-login-return_urlindexhtml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Valuable
8087850.txt,https://update-clienti-dati-sicuro-supporto.cfolks.pl/application/mobile/public/webapp/digital-login/area-riservata.php,119,update-clienti-dati-sicuro-supporto.cfolks.pl,45,0,pl,10.06150939,0.214285714,0.0069695,0.056064104,2,1,0,0,0,96,0.807,0,0,0,0,0,15,0.126,1,15,155,1,update-clienti-dati-sicuro-supportocfolksapicationmobilepublicwebappdigital-loginarea-riservataphp,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Valuable
8118834.txt,https://decentralized-2fauth.firebaseapp.com/wallet/connect/import/6,68,decentralized-2fauth.firebaseapp.com,36,0,com,32.22131148,0.46875,0.5229071,0.057103748,3,1,0,0,0,51,0.75,2,0.029,0,0,0,7,0.103,1,32,134,1,decentralized-2fauthfirebaseappwalletconnectimport6,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,2,0,3,0,Valuable
8099014.txt,http://ubank-secured-login.com,30,ubank-secured-login.com,23,0,com,48.49230769,0.421052632,0.5229071,0.058633523,3,0,0,0,0,20,0.667,0,0,0,0,0,3,0.1,0,58,98,1,ubank-secured-login,100,100,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Valuable
8118387.txt,https://0e6695a34738ffafbb092511017239cb.tsl-pl.co.pl/xtrr/pol/9e54008625a4b387ccf6adf84c9b9b22/login/,102,0e6695a34738ffafbb092511017239cb.tsl-pl.co.pl,45,0,pl,7.651850048,0.452380952,0.0069695,0.025862906,2,2,0,0,0,43,0.422,42,0.412,0,0,0,9,0.088,1,95,394,1,0e6695a34738ffafbb092511017239cbtsl-coxtrrpol9e54008625a4b387ccf6adf84c9b9b22login,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,Valuable
